epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,430.617,1.61041,1.42722,1.61628,0.55491,0.60244,0.5965,0.28915,1.91117,1.66277,1.89949,0.000898525,0.000898525,0.000898525
43,440.571,1.60212,1.42734,1.59271,0.53741,0.44088,0.46061,0.22414,2.06134,1.93991,1.98986,0.00089605,0.00089605,0.00089605
44,450.539,1.55649,1.4002,1.58402,0.5403,0.59198,0.59277,0.28852,1.81228,1.6143,1.86798,0.000893575,0.000893575,0.000893575
45,460.663,1.62824,1.43335,1.62397,0.50846,0.56532,0.58135,0.28301,1.82294,1.6419,1.91484,0.0008911,0.0008911,0.0008911
46,470.608,1.5901,1.40908,1.59988,0.58466,0.59829,0.64604,0.3121,1.81776,1.61402,1.88374,0.000888625,0.000888625,0.000888625
47,480.742,1.57657,1.39232,1.60062,0.61131,0.54558,0.60644,0.2988,1.77001,1.59789,1.84532,0.00088615,0.00088615,0.00088615
48,490.993,1.56979,1.40803,1.60295,0.61793,0.61452,0.63578,0.31812,1.82039,1.51699,1.84087,0.000883675,0.000883675,0.000883675
49,501.088,1.59505,1.43745,1.61957,0.7612,0.5026,0.61012,0.30167,1.83685,1.6151,1.85386,0.0008812,0.0008812,0.0008812
50,511.034,1.56588,1.40468,1.59399,0.53602,0.6393,0.63873,0.3176,1.76586,1.54652,1.82901,0.000878725,0.000878725,0.000878725
51,521.202,1.56887,1.40212,1.59696,0.72511,0.53706,0.60414,0.30651,1.82534,1.66731,1.86412,0.00087625,0.00087625,0.00087625
52,531.209,1.56977,1.39597,1.59908,0.7014,0.55735,0.62348,0.31548,1.76119,1.58364,1.84272,0.000873775,0.000873775,0.000873775
53,541.179,1.58879,1.38582,1.60358,0.70189,0.54345,0.61324,0.30019,1.83153,1.58868,1.88176,0.0008713,0.0008713,0.0008713
54,551.409,1.57571,1.37589,1.58844,0.76407,0.54999,0.64947,0.3324,1.71506,1.55155,1.80909,0.000868825,0.000868825,0.000868825
55,561.517,1.57047,1.37894,1.59275,0.67797,0.56111,0.63181,0.3209,1.75366,1.51696,1.82499,0.00086635,0.00086635,0.00086635
56,571.516,1.5544,1.38588,1.585,0.58044,0.6099,0.61933,0.31469,1.76222,1.56389,1.81694,0.000863875,0.000863875,0.000863875
57,581.727,1.59088,1.38689,1.60255,0.70097,0.50227,0.58867,0.29326,1.80886,1.65167,1.81789,0.0008614,0.0008614,0.0008614
58,591.687,1.55452,1.35446,1.55962,0.66584,0.59853,0.64589,0.31901,1.84508,1.56079,1.86284,0.000858925,0.000858925,0.000858925
59,601.64,1.56614,1.38731,1.5851,0.53662,0.62662,0.63022,0.32118,1.74087,1.61435,1.83217,0.00085645,0.00085645,0.00085645
60,611.826,1.50997,1.34176,1.54169,0.58273,0.61933,0.63717,0.33214,1.73703,1.54042,1.77548,0.000853975,0.000853975,0.000853975
61,621.764,1.55121,1.3517,1.57304,0.63601,0.57409,0.62453,0.32911,1.74141,1.57065,1.81096,0.0008515,0.0008515,0.0008515
62,631.699,1.51952,1.33409,1.55158,0.65074,0.5732,0.6606,0.34469,1.70901,1.50298,1.80117,0.000849025,0.000849025,0.000849025
63,642.064,1.54914,1.3423,1.57119,0.67029,0.62392,0.67523,0.34706,1.69291,1.51201,1.77889,0.00084655,0.00084655,0.00084655
64,652.121,1.52658,1.31024,1.54521,0.63157,0.62807,0.67014,0.34867,1.71015,1.4714,1.78787,0.000844075,0.000844075,0.000844075
65,662.341,1.51341,1.31463,1.55115,0.77043,0.55229,0.65578,0.32674,1.81228,1.49539,1.84401,0.0008416,0.0008416,0.0008416
66,672.664,1.50831,1.31068,1.54222,0.57158,0.61907,0.64362,0.33409,1.71484,1.53232,1.80931,0.000839125,0.000839125,0.000839125
67,682.752,1.5124,1.33352,1.5466,0.63047,0.65787,0.69072,0.36316,1.71632,1.43527,1.79289,0.00083665,0.00083665,0.00083665
68,692.993,1.53454,1.32088,1.5566,0.66816,0.62038,0.68473,0.35793,1.73238,1.44944,1.78625,0.000834175,0.000834175,0.000834175
69,703.31,1.4861,1.306,1.54368,0.68301,0.55848,0.61089,0.30058,1.81993,1.57927,1.85083,0.0008317,0.0008317,0.0008317
70,713.456,1.51161,1.30727,1.54679,0.7549,0.55346,0.65225,0.33685,1.74277,1.48723,1.82599,0.000829225,0.000829225,0.000829225
71,723.64,1.51202,1.32486,1.5602,0.59965,0.65836,0.67669,0.34295,1.73326,1.46933,1.80176,0.00082675,0.00082675,0.00082675
72,734.054,1.49994,1.2973,1.54042,0.59578,0.56539,0.66146,0.33334,1.74214,1.50157,1.81564,0.000824275,0.000824275,0.000824275
73,744.337,1.50381,1.29543,1.53203,0.55195,0.61591,0.63012,0.31953,1.82357,1.59055,1.84878,0.0008218,0.0008218,0.0008218
74,754.368,1.51577,1.30279,1.54053,0.59716,0.62182,0.65206,0.33404,1.73824,1.47876,1.80532,0.000819325,0.000819325,0.000819325
75,764.55,1.4744,1.29256,1.52303,0.65405,0.60454,0.65233,0.34599,1.68787,1.50303,1.79386,0.00081685,0.00081685,0.00081685
76,774.567,1.49329,1.29337,1.53647,0.60243,0.62672,0.6604,0.34568,1.72793,1.47794,1.78967,0.000814375,0.000814375,0.000814375
77,784.746,1.48776,1.30447,1.53226,0.64166,0.59748,0.65984,0.33571,1.73542,1.49199,1.79865,0.0008119,0.0008119,0.0008119
78,794.875,1.49924,1.27842,1.51875,0.68486,0.6296,0.68088,0.35276,1.68087,1.49696,1.77102,0.000809425,0.000809425,0.000809425
79,804.859,1.48268,1.27795,1.52404,0.57327,0.62454,0.65091,0.34738,1.71402,1.45122,1.82354,0.00080695,0.00080695,0.00080695
80,814.834,1.47699,1.30216,1.52649,0.64303,0.66149,0.68122,0.36568,1.65557,1.42995,1.76769,0.000804475,0.000804475,0.000804475
81,825.159,1.50359,1.26789,1.52026,0.64409,0.59743,0.65026,0.34193,1.75579,1.48432,1.82045,0.000802,0.000802,0.000802
82,835.101,1.49614,1.28013,1.53373,0.6882,0.56398,0.6124,0.31042,1.77507,1.56523,1.83469,0.000799525,0.000799525,0.000799525
83,845.306,1.50549,1.28535,1.53992,0.58939,0.63949,0.65622,0.33912,1.74211,1.45578,1.784,0.00079705,0.00079705,0.00079705
84,855.302,1.46251,1.26691,1.51887,0.71643,0.63294,0.68995,0.35854,1.67346,1.42284,1.77016,0.000794575,0.000794575,0.000794575
85,865.316,1.47424,1.2545,1.51451,0.62396,0.60516,0.66386,0.34772,1.71825,1.48102,1.78712,0.0007921,0.0007921,0.0007921
86,875.506,1.49076,1.26343,1.51909,0.63028,0.64952,0.67422,0.34131,1.731,1.48393,1.80668,0.000789625,0.000789625,0.000789625
87,885.513,1.4621,1.25704,1.5047,0.67446,0.6594,0.68958,0.35602,1.68821,1.46116,1.7855,0.00078715,0.00078715,0.00078715
88,895.563,1.49082,1.26124,1.53049,0.67345,0.61641,0.67814,0.35311,1.69051,1.43765,1.78668,0.000784675,0.000784675,0.000784675
89,905.733,1.44842,1.24893,1.50812,0.69129,0.62683,0.68492,0.35357,1.69125,1.41148,1.77107,0.0007822,0.0007822,0.0007822
90,915.706,1.4308,1.24159,1.49009,0.67424,0.6578,0.70971,0.38325,1.66718,1.35413,1.76433,0.000779725,0.000779725,0.000779725
91,925.803,1.4525,1.24541,1.51281,0.69773,0.64016,0.69521,0.37414,1.6378,1.42712,1.76174,0.00077725,0.00077725,0.00077725
92,936.022,1.42403,1.22223,1.48907,0.65634,0.63803,0.68492,0.35675,1.71037,1.45656,1.79017,0.000774775,0.000774775,0.000774775
93,946.032,1.43269,1.21643,1.50025,0.60651,0.66727,0.68923,0.37338,1.63351,1.38848,1.74186,0.0007723,0.0007723,0.0007723
94,956.02,1.45895,1.23615,1.49985,0.67902,0.60585,0.66528,0.36003,1.67185,1.40801,1.75437,0.000769825,0.000769825,0.000769825
95,966.195,1.44674,1.24099,1.48809,0.6127,0.6762,0.68234,0.35569,1.67217,1.42119,1.78697,0.00076735,0.00076735,0.00076735
96,976.204,1.45091,1.24769,1.49737,0.69007,0.63524,0.68596,0.36169,1.666,1.42744,1.76967,0.000764875,0.000764875,0.000764875
97,986.216,1.46112,1.24281,1.49484,0.71141,0.65809,0.72774,0.39127,1.62641,1.36083,1.75573,0.0007624,0.0007624,0.0007624
98,996.58,1.4303,1.22119,1.49418,0.64004,0.63422,0.68014,0.35977,1.68725,1.45172,1.78459,0.000759925,0.000759925,0.000759925
99,1006.58,1.45328,1.23245,1.51917,0.68014,0.61983,0.6708,0.34652,1.71616,1.46522,1.80609,0.00075745,0.00075745,0.00075745
100,1016.61,1.45367,1.20664,1.49815,0.70243,0.62242,0.69023,0.37467,1.64151,1.39183,1.7371,0.000754975,0.000754975,0.000754975
101,1026.75,1.43983,1.22577,1.4957,0.67948,0.63124,0.6857,0.36734,1.67601,1.39509,1.74829,0.0007525,0.0007525,0.0007525
102,1036.7,1.43006,1.22757,1.4947,0.63991,0.6273,0.66673,0.35638,1.67226,1.43341,1.7733,0.000750025,0.000750025,0.000750025
103,1046.73,1.42268,1.21942,1.47883,0.74965,0.60565,0.70145,0.37051,1.65965,1.40042,1.74323,0.00074755,0.00074755,0.00074755
104,1056.91,1.41425,1.18642,1.4707,0.64776,0.65029,0.68827,0.35789,1.69617,1.37577,1.78649,0.000745075,0.000745075,0.000745075
105,1066.96,1.4583,1.26307,1.50399,0.64893,0.56484,0.64319,0.34629,1.70102,1.46798,1.79757,0.0007426,0.0007426,0.0007426
106,1076.9,1.43665,1.2133,1.48947,0.68842,0.65163,0.69379,0.35864,1.67497,1.384,1.77513,0.000740125,0.000740125,0.000740125
107,1087.06,1.4116,1.20036,1.48259,0.64937,0.64338,0.68105,0.36099,1.71095,1.40255,1.79537,0.00073765,0.00073765,0.00073765
108,1097.05,1.4126,1.19238,1.48221,0.67461,0.62913,0.68222,0.35883,1.69467,1.4171,1.80145,0.000735175,0.000735175,0.000735175
109,1107.06,1.41378,1.19731,1.48226,0.66442,0.66347,0.69319,0.37039,1.65659,1.3944,1.77854,0.0007327,0.0007327,0.0007327
110,1117.27,1.42333,1.20163,1.49822,0.68167,0.64369,0.68272,0.36497,1.66797,1.40119,1.7845,0.000730225,0.000730225,0.000730225
111,1127.27,1.42513,1.19584,1.47075,0.63872,0.66484,0.69137,0.37498,1.65568,1.37042,1.77307,0.00072775,0.00072775,0.00072775
112,1137.29,1.44428,1.19239,1.50077,0.67439,0.66641,0.70072,0.372,1.68698,1.36399,1.78303,0.000725275,0.000725275,0.000725275
113,1147.5,1.41532,1.19208,1.49057,0.7111,0.6428,0.70444,0.38086,1.62774,1.35284,1.74208,0.0007228,0.0007228,0.0007228
114,1157.48,1.39168,1.1872,1.47321,0.66843,0.63936,0.69091,0.37102,1.63218,1.36791,1.75453,0.000720325,0.000720325,0.000720325
115,1167.46,1.41761,1.18884,1.4813,0.69697,0.63714,0.67391,0.35833,1.66528,1.41631,1.7891,0.00071785,0.00071785,0.00071785
116,1177.64,1.39909,1.18975,1.47569,0.7163,0.64455,0.71013,0.38423,1.62177,1.33577,1.77171,0.000715375,0.000715375,0.000715375
117,1187.62,1.40756,1.14904,1.46461,0.66402,0.65582,0.6957,0.3747,1.63142,1.3694,1.74758,0.0007129,0.0007129,0.0007129
118,1197.58,1.40888,1.17325,1.47218,0.67084,0.65272,0.692,0.36495,1.67287,1.37525,1.78872,0.000710425,0.000710425,0.000710425
119,1207.75,1.40333,1.16743,1.48373,0.67923,0.64601,0.69761,0.37339,1.63856,1.37632,1.76515,0.00070795,0.00070795,0.00070795
120,1217.69,1.40729,1.18452,1.49336,0.66368,0.66373,0.70259,0.37234,1.65154,1.35048,1.79787,0.000705475,0.000705475,0.000705475
121,1227.64,1.37479,1.17482,1.46076,0.59878,0.68408,0.68482,0.3756,1.65819,1.36353,1.77439,0.000703,0.000703,0.000703
122,1237.85,1.39968,1.17741,1.47497,0.68008,0.64908,0.70331,0.36679,1.65091,1.36381,1.80676,0.000700525,0.000700525,0.000700525
123,1247.92,1.40162,1.16612,1.47658,0.72518,0.67155,0.72629,0.39283,1.61312,1.30658,1.75054,0.00069805,0.00069805,0.00069805
124,1258.05,1.37383,1.16141,1.44905,0.70808,0.62818,0.70535,0.37584,1.66163,1.34232,1.76294,0.000695575,0.000695575,0.000695575
125,1268.2,1.36467,1.15023,1.45482,0.67447,0.64742,0.69568,0.37891,1.63449,1.36549,1.7576,0.0006931,0.0006931,0.0006931
126,1278.17,1.37998,1.15167,1.45174,0.63841,0.677,0.70458,0.36682,1.66431,1.34143,1.79167,0.000690625,0.000690625,0.000690625
127,1288.31,1.40492,1.16356,1.46271,0.67005,0.66582,0.70693,0.39411,1.60296,1.34853,1.73781,0.00068815,0.00068815,0.00068815
128,1298.25,1.40082,1.17445,1.46678,0.68114,0.6792,0.69557,0.37413,1.67788,1.37491,1.75354,0.000685675,0.000685675,0.000685675
129,1308.21,1.38737,1.1684,1.46237,0.64184,0.65833,0.68407,0.36709,1.64749,1.37316,1.76249,0.0006832,0.0006832,0.0006832
130,1318.38,1.37779,1.12906,1.45978,0.67106,0.64841,0.70224,0.38355,1.63908,1.33003,1.74519,0.000680725,0.000680725,0.000680725
131,1328.31,1.39289,1.17297,1.47661,0.6214,0.69745,0.70306,0.38654,1.61467,1.36489,1.74644,0.00067825,0.00067825,0.00067825
132,1338.21,1.38207,1.15589,1.46111,0.61344,0.69535,0.6923,0.37398,1.63839,1.40858,1.77393,0.000675775,0.000675775,0.000675775
133,1348.41,1.36296,1.14016,1.45561,0.63579,0.65829,0.68944,0.36883,1.66498,1.34482,1.78603,0.0006733,0.0006733,0.0006733
134,1358.39,1.39989,1.15184,1.46909,0.66003,0.64933,0.6867,0.37248,1.62965,1.336,1.74337,0.000670825,0.000670825,0.000670825
135,1368.3,1.37038,1.13097,1.46614,0.64272,0.67554,0.70639,0.38067,1.63118,1.3482,1.76839,0.00066835,0.00066835,0.00066835
136,1378.42,1.38875,1.15197,1.45727,0.70893,0.65825,0.71966,0.38607,1.62211,1.32382,1.76043,0.000665875,0.000665875,0.000665875
137,1388.47,1.39988,1.16798,1.48668,0.64481,0.66378,0.69568,0.37128,1.68783,1.3319,1.77145,0.0006634,0.0006634,0.0006634
138,1398.47,1.3935,1.11643,1.45431,0.62709,0.69211,0.70945,0.38287,1.66453,1.31862,1.77712,0.000660925,0.000660925,0.000660925
139,1408.69,1.4036,1.1648,1.46246,0.62242,0.70134,0.71042,0.38518,1.63157,1.31088,1.75584,0.00065845,0.00065845,0.00065845
140,1418.69,1.38449,1.13811,1.45767,0.65564,0.68202,0.7129,0.38429,1.63151,1.3159,1.74991,0.000655975,0.000655975,0.000655975
141,1428.69,1.37014,1.12073,1.45349,0.70366,0.64241,0.70076,0.38556,1.62184,1.34038,1.74046,0.0006535,0.0006535,0.0006535
142,1438.9,1.36983,1.13074,1.44087,0.65144,0.6616,0.69602,0.37788,1.64762,1.3317,1.79122,0.000651025,0.000651025,0.000651025
143,1448.9,1.35721,1.11576,1.44967,0.63971,0.66884,0.69175,0.3666,1.6676,1.33586,1.81399,0.00064855,0.00064855,0.00064855
144,1458.84,1.37925,1.12278,1.4594,0.63751,0.675,0.703,0.38128,1.64575,1.3213,1.7645,0.000646075,0.000646075,0.000646075
145,1468.96,1.36251,1.12525,1.44663,0.70459,0.65201,0.71064,0.38325,1.63319,1.34322,1.76523,0.0006436,0.0006436,0.0006436
146,1478.91,1.35017,1.12351,1.4331,0.64542,0.68831,0.70548,0.39019,1.64057,1.31172,1.77435,0.000641125,0.000641125,0.000641125
147,1488.89,1.3565,1.11733,1.44952,0.71604,0.66333,0.7191,0.38954,1.63775,1.30871,1.75209,0.00063865,0.00063865,0.00063865
148,1499.03,1.35056,1.11325,1.44933,0.67052,0.70553,0.72567,0.39299,1.6215,1.28212,1.75662,0.000636175,0.000636175,0.000636175
149,1509.1,1.34947,1.10616,1.44796,0.7209,0.64314,0.69487,0.37892,1.61862,1.32802,1.78782,0.0006337,0.0006337,0.0006337
150,1519.03,1.34756,1.08955,1.42764,0.67621,0.65882,0.69233,0.3772,1.62973,1.36795,1.75718,0.000631225,0.000631225,0.000631225
151,1529.17,1.33839,1.10113,1.43764,0.63952,0.6963,0.72495,0.39102,1.62673,1.29189,1.7671,0.00062875,0.00062875,0.00062875
152,1539.18,1.3457,1.10248,1.436,0.63917,0.66029,0.69054,0.37519,1.66193,1.33585,1.80195,0.000626275,0.000626275,0.000626275
153,1549.19,1.37196,1.12628,1.45093,0.65542,0.63843,0.6934,0.3759,1.6664,1.35429,1.79593,0.0006238,0.0006238,0.0006238
154,1559.35,1.34665,1.11186,1.43804,0.63148,0.67081,0.68588,0.37487,1.6688,1.33698,1.79964,0.000621325,0.000621325,0.000621325
155,1569.43,1.3463,1.10167,1.4351,0.64955,0.66438,0.69377,0.3801,1.62296,1.33853,1.759,0.00061885,0.00061885,0.00061885
156,1579.41,1.33529,1.11185,1.42457,0.64137,0.67823,0.6994,0.37945,1.65349,1.32424,1.77875,0.000616375,0.000616375,0.000616375
157,1589.72,1.31959,1.08709,1.41705,0.67766,0.68705,0.73397,0.40079,1.61298,1.27834,1.75671,0.0006139,0.0006139,0.0006139
158,1599.88,1.35839,1.10917,1.43937,0.65346,0.69061,0.72033,0.39579,1.61388,1.29908,1.7525,0.000611425,0.000611425,0.000611425
159,1609.89,1.32125,1.09505,1.41993,0.66777,0.69111,0.71898,0.39803,1.62072,1.28435,1.7477,0.00060895,0.00060895,0.00060895
160,1620.11,1.35006,1.12016,1.43293,0.6266,0.66932,0.68844,0.37942,1.63105,1.34777,1.76821,0.000606475,0.000606475,0.000606475
161,1630.17,1.31093,1.07779,1.40152,0.68012,0.67616,0.71773,0.38544,1.64893,1.3296,1.75397,0.000604,0.000604,0.000604
162,1640.14,1.35678,1.10175,1.44317,0.62876,0.68784,0.71893,0.39968,1.59605,1.28406,1.74766,0.000601525,0.000601525,0.000601525
163,1650.27,1.31782,1.07586,1.42574,0.69462,0.69743,0.73394,0.40725,1.58294,1.24987,1.73443,0.00059905,0.00059905,0.00059905
164,1660.39,1.32736,1.06583,1.41152,0.69048,0.67598,0.7165,0.39578,1.60316,1.27589,1.76086,0.000596575,0.000596575,0.000596575
165,1670.4,1.34285,1.08312,1.43199,0.67373,0.67103,0.71185,0.38461,1.65996,1.30028,1.7952,0.0005941,0.0005941,0.0005941
166,1680.53,1.32594,1.08754,1.41921,0.66035,0.67748,0.71067,0.38779,1.64839,1.28221,1.75918,0.000591625,0.000591625,0.000591625
167,1690.56,1.31511,1.07552,1.40917,0.70385,0.6469,0.70647,0.3866,1.67201,1.297,1.78774,0.00058915,0.00058915,0.00058915
168,1700.53,1.31169,1.08391,1.41344,0.67303,0.64705,0.70698,0.38468,1.619,1.29891,1.74491,0.000586675,0.000586675,0.000586675
169,1710.69,1.30032,1.05972,1.41638,0.66839,0.66696,0.71469,0.38992,1.63066,1.25738,1.74949,0.0005842,0.0005842,0.0005842
170,1720.69,1.33,1.08748,1.41944,0.66535,0.66611,0.70226,0.3823,1.66477,1.31004,1.80181,0.000581725,0.000581725,0.000581725
171,1730.86,1.32449,1.08308,1.41922,0.6561,0.68128,0.72026,0.39698,1.65948,1.30069,1.80098,0.00057925,0.00057925,0.00057925
172,1740.84,1.33582,1.07602,1.43118,0.61398,0.68902,0.68048,0.37864,1.62541,1.36672,1.78279,0.000576775,0.000576775,0.000576775
173,1750.82,1.29949,1.07764,1.42166,0.66024,0.6743,0.71285,0.39101,1.6126,1.2869,1.77574,0.0005743,0.0005743,0.0005743
174,1760.93,1.33491,1.07015,1.42409,0.67304,0.68569,0.72362,0.40886,1.60068,1.24765,1.74057,0.000571825,0.000571825,0.000571825
175,1771.05,1.31277,1.04416,1.4098,0.674,0.68192,0.72049,0.39656,1.64955,1.26216,1.77883,0.00056935,0.00056935,0.00056935
176,1781.04,1.33711,1.05736,1.41822,0.71356,0.67154,0.73375,0.40438,1.64275,1.2597,1.75561,0.000566875,0.000566875,0.000566875
177,1791.26,1.30415,1.05573,1.40087,0.66774,0.68965,0.71629,0.39488,1.63598,1.29738,1.77553,0.0005644,0.0005644,0.0005644
178,1801.29,1.28403,1.03645,1.39376,0.70541,0.67463,0.724,0.39874,1.63612,1.25551,1.7631,0.000561925,0.000561925,0.000561925
179,1811.33,1.32798,1.05076,1.40865,0.65487,0.69052,0.71994,0.38497,1.68686,1.29997,1.85276,0.00055945,0.00055945,0.00055945
180,1821.54,1.34065,1.07861,1.4325,0.63287,0.68892,0.69803,0.3884,1.629,1.30974,1.79415,0.000556975,0.000556975,0.000556975
